




Emp-ID, Name, Position, Hourly,Salary, T-Rate, Deductions
00001,John Doe,Manager,00000,1000000,00500,0100000
00002,Jane Smith,Hourly,00200,0000000,00100,0050000,40
00003,Robert Brown,Engineer,00000,0800000,00400,0080000
00004,Emily Davis,Hourly,01500,0000000,00200,0030000
00005,Michael Johnson,Director,00000,1200000,00600,0150000
00006,Jessica Wilson,Hourly,01800,0000000,00300,0040000
00007,David Martinez,Analyst,00000,0700000,00350,0070000
00008,Laura Garcia,Hourly,02000,0000000,00250,0060000
00009,James Anderson,Consultant,00000,0900000,00450,0090000
00010,Sarah Lee,Hourly,02200,0000000,00350,0050000





